COURSE,E25_LEARNING,E25_MOTIVATION,E25_FEEDBACK,E25_WORKLOAD
02590,,,,
02593,,,,
02601,"[2, 5, 8, 18, 23]","[4, 7, 10, 18, 17]","[1, 4, 8, 19, 23]","[1, 4, 22, 15, 13]"
02602,,,,
02603,,,,
02609,,,,
02610,,,,
02611,,,,
02612,,,,
02613,,,,
02614,"[0, 0, 0, 6, 5]","[2, 1, 1, 2, 5]","[0, 2, 0, 1, 8]","[0, 0, 3, 3, 5]"
02615,"[0, 1, 4, 8, 7]","[1, 4, 3, 8, 4]","[0, 1, 3, 8, 8]","[0, 3, 13, 3, 1]"
02616,"[0, 1, 0, 2, 3]","[0, 0, 2, 1, 3]","[0, 0, 0, 0, 6]","[0, 0, 5, 1, 0]"
02619,"[0, 2, 4, 5, 4]","[1, 4, 2, 4, 4]","[2, 4, 3, 3, 3]","[0, 0, 5, 7, 3]"
02623,"[0, 1, 1, 2, 10]","[0, 0, 1, 7, 6]","[0, 0, 1, 10, 3]","[1, 1, 7, 2, 3]"
02624,"[0, 0, 1, 2, 5]","[0, 0, 1, 3, 4]","[0, 0, 0, 1, 7]","[0, 0, 5, 3, 0]"
02625,,,,
02631,,,,
02632,,,,
02633,,,,
02634,,,,
02635,"[2, 4, 9, 17, 14]","[3, 5, 12, 14, 11]","[0, 4, 12, 11, 18]","[5, 10, 20, 6, 3]"
02637,,,,
02671,,,,
02673,,,,
02685,,,,
02686,,,,
02687,,,,
02689,"[0, 0, 0, 1, 9]","[0, 0, 0, 2, 8]","[0, 1, 1, 2, 6]","[0, 0, 1, 1, 8]"
02691,,,,
02692,,,,
02693,,,,
02694,,,,
02802,,,,
02803,,,,
02805,"[0, 3, 5, 20, 28]","[2, 3, 7, 20, 24]","[2, 5, 8, 22, 19]","[0, 11, 22, 18, 5]"
02806,,,,
02807,"[3, 4, 19, 28, 15]","[3, 6, 26, 17, 16]","[9, 15, 22, 11, 11]","[2, 12, 36, 12, 6]"
02808,,,,
02809,,,,
02810,"[12, 17, 22, 41, 37]","[17, 15, 22, 34, 39]","[5, 16, 15, 34, 57]","[3, 9, 39, 37, 38]"
02811,,,,
02813,,,,
02814,,,,
02815,,,,
02817,,,,
02819,,,,
02820,,,,
02821,,,,
02822,,,,
02823,,,,
02824,,,,
02825,,,,
02826,,,,
02827,,,,
02829,,,,
02830,"[0, 0, 0, 5, 0]","[0, 1, 0, 4, 0]","[0, 0, 1, 3, 1]","[0, 1, 3, 1, 0]"
02831,,,,
02832,,,,
02840,,,,
02841,,,,
02855,,,,
02901,,,,
02902,,,,
02903,,,,
02904,,,,
02906,,,,
02907,,,,
02908,,,,
02910,,,,
02911,,,,
02913,,,,
02916,,,,
02917,,,,
02918,,,,
02919,,,,
02920,,,,
02921,,,,
02923,,,,
02924,,,,
02925,,,,
02927,,,,
02928,,,,
02930,,,,
02931,,,,
02932,,,,
02933,,,,
02934,,,,
02935,"[0, 0, 1, 2, 1]","[0, 1, 0, 2, 1]","[0, 1, 0, 2, 1]","[0, 1, 3, 0, 0]"
02936,,,,
02937,,,,
02938,,,,
02939,,,,
02940,,,,
02941,,,,
02943,,,,
02944,,,,
02945,,,,
02946,"[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 0, 0, 2]","[0, 0, 2, 0, 0]"
02947,,,,
02948,,,,
02949,,,,
02950,,,,
02951,,,,
02952,,,,
02953,,,,
02954,,,,
02955,"[0, 0, 1, 0, 0]","[1, 0, 0, 0, 0]","[0, 1, 0, 0, 0]","[1, 0, 0, 0, 0]"
02956,,,,
02957,,,,
02959,,,,
02960,,,,
02961,,,,
02962,,,,
02964,,,,
02966,,,,
02967,,,,
02969,,,,
02970,,,,
02971,,,,
02972,,,,
02973,,,,
02975,,,,
02976,,,,
02977,,,,
02978,,,,
02979,,,,
02980,,,,
02981,,,,
02982,,,,
02983,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
02985,,,,
02986,,,,
02G01,,,,
02G02,,,,
02G03,,,,
02G04,,,,
02G05,,,,
02G06,,,,
02G07,,,,
02G08,,,,
02G09,,,,
02G10,,,,
10018,,,,
10020,,,,
10022,,,,
10024,,,,
10030,,,,
10031,,,,
10033,,,,
10034,,,,
10035,"[0, 0, 2, 7, 36]","[0, 0, 2, 16, 27]","[0, 0, 7, 12, 26]","[0, 7, 27, 9, 2]"
10036,"[0, 0, 1, 2, 26]","[0, 1, 6, 9, 13]","[0, 0, 2, 8, 19]","[0, 0, 10, 14, 5]"
10037,,,,
10041,,,,
10044,,,,
10050,,,,
10052,,,,
10054,,,,
10060,"[13, 53, 72, 170, 94]","[55, 74, 112, 110, 48]","[50, 92, 124, 97, 34]","[18, 72, 172, 92, 42]"
10062,,,,
10063,"[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]","[0, 0, 0, 0, 0]"
10065,"[0, 0, 0, 2, 2]","[0, 0, 0, 2, 2]","[0, 0, 1, 1, 2]","[0, 0, 4, 0, 0]"
10080,,,,
10081,,,,
10102,,,,
10103,,,,
10104,,,,
10112,"[0, 0, 2, 6, 10]","[0, 0, 8, 4, 5]","[0, 1, 3, 7, 6]","[0, 3, 3, 9, 2]"
10122,"[1, 0, 1, 6, 6]","[0, 2, 3, 3, 5]","[0, 3, 2, 5, 4]","[0, 1, 6, 5, 2]"
10200,"[0, 0, 0, 3, 3]","[0, 0, 0, 1, 5]","[0, 0, 1, 1, 3]","[0, 0, 4, 1, 1]"
10208,"[0, 1, 1, 3, 7]","[0, 3, 0, 2, 7]","[1, 1, 0, 3, 7]","[1, 4, 3, 2, 1]"
10209,,,,
10220,,,,
10240,,,,
10250,,,,
10255,"[0, 0, 0, 1, 1]","[0, 0, 1, 0, 0]","[0, 0, 1, 0, 0]","[0, 0, 0, 1, 0]"
10260,,,,
10302,,,,
10303,,,,
10304,,,,
10305,,,,
10306,,,,
10307,,,,
10308,,,,
10311,,,,
10313,,,,
10314,,,,
10315,,,,
10316,"[0, 1, 2, 11, 6]","[0, 1, 3, 7, 8]","[0, 2, 6, 7, 4]","[2, 4, 10, 0, 3]"
10317,"[1, 0, 2, 9, 25]","[1, 2, 1, 17, 16]","[1, 1, 9, 16, 10]","[1, 3, 22, 8, 3]"
10318,,,,
10319,"[0, 0, 0, 3, 2]","[0, 1, 1, 2, 1]","[1, 1, 0, 2, 1]","[0, 0, 0, 2, 3]"
10321,"[0, 0, 0, 4, 7]","[0, 2, 3, 4, 2]","[0, 0, 1, 6, 4]","[0, 0, 0, 8, 3]"
10323,,,,
10325,"[0, 1, 0, 1, 5]","[0, 0, 0, 2, 5]","[0, 0, 1, 0, 6]","[0, 0, 6, 0, 1]"
10326,,,,
10327,,,,
10331,"[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 0, 0, 1]","[0, 0, 1, 0, 0]"
10333,"[0, 0, 0, 4, 7]","[0, 0, 2, 4, 5]","[0, 2, 4, 3, 2]","[0, 2, 5, 3, 1]"
10336,,,,
10337,"[0, 1, 1, 2, 3]","[0, 0, 1, 4, 2]","[0, 0, 0, 0, 7]","[0, 3, 2, 2, 0]"
10339,"[0, 0, 1, 3, 4]","[1, 2, 3, 0, 2]","[1, 1, 2, 2, 2]","[0, 1, 7, 0, 0]"
10345,,,,
10346,,,,
10347,,,,
10350,,,,
10351,,,,
10353,,,,
10355,,,,
10356,,,,
10357,,,,
10378,,,,
10380,,,,
10384,"[0, 0, 2, 4, 18]","[0, 3, 3, 7, 11]","[0, 2, 5, 7, 10]","[0, 2, 10, 8, 4]"
10385,,,,
10386,,,,
10387,,,,
10400,"[0, 0, 3, 3, 8]","[0, 4, 1, 3, 6]","[0, 1, 4, 4, 4]","[0, 4, 6, 2, 2]"
10401,,,,
